Energy,1.00E-09,1.58E-09,2.51E-09,3.98E-09,6.31E-09,1.00E-08,1.58E-08,2.51E-08,3.98E-08,6.31E-08,1.00E-07,1.58E-07,2.51E-07,3.98E-07,6.31E-07,1.00E-06,1.58E-06,2.51E-06,3.98E-06,6.31E-06,1.00E-05,1.58E-05,2.51E-05,3.98E-05,6.31E-05,0.0001,0.000158,0.000251,0.000398,0.000631,0.001,0.00158,0.00251,0.00398,0.00631,0.01,0.0158,0.0251,0.0398,0.0631,0.1,0.126,0.158,0.2,0.251,0.316,0.398,0.501,0.631,0.794,1,1.12,1.26,1.41,1.58,1.78,2,2.24,2.51,2.82,3.16,3.55,3.98,4.47,5.01,5.62,6.31,7.08,7.94,8.91,10,11.2,12.6,14.1,15.8,17.8,20,25.1,31.6,39.8,50.1,63.1,79.4,100
x=14cm,0.021506,0.02249,0.023819,0.025609,0.028095,0.031421,0.035149,0.038884,0.043311,0.048759,0.055255,0.060291,0.062266,0.063907,0.06417,0.064051,0.063131,0.062063,0.060778,0.059845,0.057845,0.056231,0.054318,0.052294,0.050607,0.048871,0.047103,0.04542,0.043911,0.042283,0.040897,0.039446,0.038141,0.03692,0.035747,0.034598,0.033419,0.032347,0.031267,0.030063,0.028857,0.028178,0.027382,0.026593,0.025815,0.024576,0.023445,0.022238,0.020942,0.01948,0.017981,0.01725,0.016322,0.015597,0.014771,0.013894,0.01307,0.012298,0.011478,0.010722,0.010082,0.0094984,0.0088113,0.0080238,0.0073693,0.0067872,0.0068357,0.0054482,0.0052106,0.0045039,0.0038772,0.0037681,0.0034652,0.0032098,0.0029572,0.0026661,0.0028788,0.0018146,0.0013937,0.0011283,0.00096714,0.00081734,0.00074211,0.00077314
x=13cm,0.013922,0.014512,0.015312,0.016361,0.017883,0.019973,0.022414,0.02487,0.028352,0.033232,0.040018,0.046804,0.050732,0.055021,0.057812,0.05996,0.06121,0.062165,0.062562,0.063,0.062659,0.062031,0.061091,0.060076,0.059061,0.057975,0.056594,0.055369,0.054199,0.053078,0.051763,0.050663,0.049416,0.048289,0.047165,0.046141,0.04515,0.044109,0.042998,0.041986,0.040823,0.040255,0.03948,0.038584,0.037662,0.036396,0.035015,0.033507,0.031795,0.029815,0.027653,0.026625,0.025483,0.024292,0.023118,0.021862,0.020603,0.019394,0.018178,0.017089,0.015938,0.015166,0.014129,0.012882,0.011806,0.010933,0.010928,0.0088525,0.0083568,0.0072221,0.006255,0.0060719,0.0055124,0.0051542,0.004721,0.0042967,0.0045693,0.0028519,0.0021594,0.0017295,0.0014391,0.00121,0.0010777,0.0011108
x=12cm,0.0092203,0.0096264,0.010163,0.010891,0.011928,0.013178,0.014781,0.016515,0.01887,0.022206,0.027343,0.032978,0.036447,0.040889,0.044152,0.047002,0.049124,0.051033,0.052368,0.053855,0.054573,0.054859,0.054908,0.054923,0.054709,0.054448,0.054095,0.053727,0.053141,0.052437,0.052059,0.051414,0.050813,0.050171,0.049564,0.048976,0.048319,0.047952,0.047405,0.047035,0.046586,0.046295,0.045887,0.045293,0.04476,0.043864,0.042713,0.041174,0.039547,0.037675,0.035409,0.034148,0.032892,0.031587,0.030138,0.028558,0.02706,0.025583,0.024056,0.022525,0.02121,0.020087,0.018839,0.017376,0.016003,0.014774,0.014629,0.011974,0.011379,0.009833,0.0086038,0.0083099,0.0075644,0.0069554,0.0064166,0.0057796,0.0062,0.0039428,0.0029661,0.0023248,0.0019545,0.0015871,0.0014417,0.0014787
x=11cm,0.0061697,0.0064102,0.0067359,0.0072231,0.0079061,0.0088024,0.0098438,0.010935,0.01256,0.014767,0.018318,0.022404,0.025024,0.028562,0.031177,0.033734,0.035876,0.037686,0.039202,0.040944,0.042009,0.042948,0.043474,0.044063,0.044434,0.044841,0.04502,0.045261,0.045197,0.045387,0.045342,0.045189,0.045193,0.045131,0.045026,0.044961,0.04499,0.045041,0.045305,0.045674,0.046094,0.046171,0.046332,0.046502,0.046438,0.046158,0.045706,0.044789,0.043557,0.041955,0.039919,0.038986,0.037788,0.036436,0.035089,0.033457,0.03188,0.03026,0.028604,0.026825,0.025363,0.023916,0.022679,0.021109,0.019424,0.018057,0.017767,0.014728,0.014007,0.012183,0.010627,0.010257,0.0092879,0.0086228,0.0079346,0.0071496,0.0076611,0.004872,0.0036553,0.0029009,0.0024171,0.0019781,0.0017413,0.0017889
x=10cm,0.0041695,0.0043472,0.0045562,0.0048917,0.0053489,0.0059309,0.0066434,0.0073705,0.0084258,0.0099881,0.012345,0.015166,0.017041,0.019484,0.021533,0.023532,0.025139,0.026675,0.028001,0.029479,0.030525,0.031457,0.032278,0.032957,0.033606,0.034141,0.034652,0.035116,0.035552,0.035899,0.036278,0.036493,0.036806,0.037027,0.037295,0.037639,0.038044,0.038536,0.039336,0.04014,0.04147,0.042056,0.042703,0.043557,0.044022,0.044426,0.044542,0.044565,0.044087,0.043278,0.04187,0.041018,0.040018,0.039003,0.037809,0.036265,0.034789,0.033308,0.031656,0.029641,0.028114,0.026594,0.025346,0.02393,0.022226,0.020568,0.020145,0.017025,0.016038,0.01405,0.012339,0.011911,0.010793,0.010094,0.0092071,0.0083416,0.0088422,0.0056927,0.0042689,0.0033497,0.0028101,0.0022907,0.0020216,0.0020674
x=9cm,0.0028161,0.0029385,0.003075,0.0033101,0.0035766,0.0039971,0.0044891,0.004996,0.0057067,0.0067412,0.008341,0.010236,0.011466,0.013216,0.01465,0.015995,0.017252,0.018448,0.019394,0.020592,0.021488,0.022161,0.022906,0.023639,0.024253,0.02475,0.025354,0.025874,0.026402,0.026839,0.02728,0.027695,0.028159,0.028505,0.029073,0.029442,0.030088,0.030795,0.031839,0.032999,0.034733,0.035662,0.036755,0.0378,0.038874,0.0399,0.040805,0.041455,0.041808,0.041788,0.041162,0.040777,0.040094,0.039321,0.038395,0.037243,0.036093,0.034691,0.033146,0.031125,0.029738,0.028116,0.027186,0.025817,0.024041,0.022428,0.021749,0.018801,0.017603,0.015538,0.013767,0.013225,0.012005,0.011133,0.010254,0.0092945,0.0097558,0.0063866,0.0047873,0.0038017,0.0031557,0.0025809,0.0022873,0.0023018
x=8cm,0.0019459,0.0020339,0.0021386,0.0022893,0.002482,0.0027666,0.0031035,0.0034547,0.003921,0.0046652,0.0057587,0.0070471,0.0079231,0.0091238,0.010145,0.011128,0.011965,0.012797,0.013617,0.014432,0.015076,0.015744,0.016233,0.016832,0.017369,0.017837,0.018334,0.018882,0.019257,0.019722,0.020175,0.020714,0.021063,0.02154,0.02204,0.022555,0.023192,0.023984,0.024987,0.026392,0.028216,0.029287,0.030487,0.031921,0.033143,0.034584,0.036269,0.03754,0.038511,0.039207,0.039454,0.039427,0.039292,0.038674,0.038203,0.037405,0.036408,0.035386,0.034015,0.031855,0.030834,0.029185,0.028356,0.027345,0.025563,0.02407,0.02306,0.02033,0.018928,0.016942,0.015083,0.014457,0.013062,0.0122,0.011271,0.010146,0.010589,0.0070429,0.0053274,0.0042207,0.0034996,0.0028446,0.0025232,0.0025582
x=6cm,0.00089788,0.00094072,0.00098608,0.0010425,0.0011477,0.0012776,0.0014356,0.001592,0.0017928,0.0021173,0.0026286,0.0032547,0.0036078,0.0041787,0.0046158,0.0051029,0.0054865,0.0058946,0.006281,0.0067035,0.0069922,0.0073167,0.0076417,0.0079235,0.0082099,0.0085146,0.008829,0.0091137,0.0093491,0.0096712,0.0099626,0.010299,0.010555,0.010888,0.011224,0.011662,0.012134,0.01271,0.013522,0.014603,0.016069,0.01702,0.018147,0.019599,0.021023,0.022809,0.024663,0.026715,0.028688,0.030529,0.032112,0.032774,0.03334,0.033684,0.033988,0.033894,0.033752,0.033292,0.032599,0.030758,0.030116,0.028558,0.02848,0.028131,0.026854,0.025358,0.02402,0.022189,0.020437,0.018543,0.016862,0.01606,0.014604,0.013619,0.012652,0.011433,0.011692,0.0081938,0.0061855,0.0048896,0.0040627,0.0033724,0.0029671,0.0029866
x=3cm,0.00029239,0.00029943,0.00031394,0.00033483,0.00037092,0.00041623,0.00046573,0.00052152,0.00057988,0.00067967,0.0008559,0.0010287,0.0011599,0.0013344,0.0014934,0.0016208,0.0017606,0.0018907,0.0020117,0.0021403,0.002265,0.0023776,0.0024651,0.0025814,0.002684,0.0027887,0.0028885,0.0029859,0.0030839,0.0031874,0.0032994,0.0034025,0.0035412,0.0036887,0.0038282,0.0039743,0.0041563,0.0044121,0.0047618,0.0052315,0.0059553,0.0064162,0.0070242,0.0078057,0.0086619,0.009909,0.011293,0.013031,0.014873,0.017084,0.019292,0.020361,0.021523,0.022533,0.023505,0.024317,0.024966,0.025348,0.025501,0.024211,0.024572,0.023258,0.024207,0.025032,0.024452,0.023632,0.021781,0.021682,0.019584,0.01842,0.017116,0.016348,0.014919,0.01404,0.013072,0.011953,0.011991,0.008812,0.006668,0.005366,0.0045374,0.003747,0.0032911,0.0033282
x=0cm,9.90E-05,0.00010605,0.00010875,0.00011528,0.00012732,0.00014091,0.00015582,0.00017431,0.00019987,0.00023063,0.00029203,0.00036176,0.0003981,0.00046375,0.00050532,0.00055961,0.00060216,0.00064376,0.00068273,0.00073586,0.00076952,0.00081109,0.00084502,0.00088286,0.00092175,0.00095797,0.00099251,0.0010291,0.0010636,0.0011093,0.0011416,0.0011835,0.0012355,0.0012683,0.0013278,0.001395,0.001448,0.0015484,0.0016751,0.0018651,0.0021362,0.0023107,0.0025663,0.0028992,0.0033308,0.0039314,0.0046556,0.0057046,0.0069276,0.0084504,0.010265,0.011296,0.01234,0.013435,0.014507,0.015592,0.016552,0.017363,0.017933,0.017277,0.018125,0.017188,0.018544,0.020074,0.02028,0.019968,0.018023,0.019311,0.017241,0.01671,0.015904,0.015186,0.014031,0.013223,0.012461,0.011466,0.011304,0.0086603,0.0067622,0.0054854,0.0046405,0.0038975,0.0034753,0.0034946
x=-3cm,3.61E-05,3.92E-05,3.84E-05,4.18E-05,4.27E-05,4.88E-05,5.55E-05,6.10E-05,6.94E-05,7.86E-05,0.00010032,0.00012211,0.00013468,0.00015705,0.00017305,0.00019499,0.00021058,0.00022694,0.00024175,0.00025331,0.00027574,0.00028728,0.00029792,0.00031498,0.00032985,0.00034642,0.00035265,0.00037298,0.00038157,0.00040016,0.00040976,0.00042505,0.00044243,0.00046277,0.0004758,0.00049035,0.00051749,0.00055079,0.00059447,0.00067315,0.00077133,0.00084432,0.00093038,0.0010755,0.0012406,0.0014983,0.0018526,0.0023214,0.0030007,0.0039135,0.0051073,0.0058184,0.0066303,0.0074017,0.0083407,0.0092603,0.01027,0.011073,0.011811,0.011575,0.012486,0.011868,0.013326,0.015084,0.015754,0.015913,0.01393,0.016182,0.01426,0.014326,0.013927,0.013373,0.012419,0.011844,0.011303,0.010387,0.010172,0.0081991,0.0064803,0.0053325,0.0045481,0.003839,0.0034129,0.0034833
x=-6cm,1.41E-05,1.57E-05,1.43E-05,1.48E-05,1.61E-05,1.83E-05,1.78E-05,2.18E-05,2.56E-05,2.70E-05,3.61E-05,4.39E-05,4.81E-05,5.56E-05,6.39E-05,6.75E-05,7.39E-05,7.89E-05,8.52E-05,9.27E-05,9.62E-05,0.00010184,0.00010632,0.00010873,0.0001161,0.00012174,0.00012456,0.00012634,0.000134,0.00014159,0.00014364,0.0001473,0.00016156,0.00016611,0.00016763,0.00017461,0.00018355,0.00019174,0.00020639,0.0002267,0.00026609,0.00028165,0.00032105,0.00036424,0.00042889,0.00052145,0.00065764,0.0008589,0.0011713,0.0015906,0.0022821,0.0026611,0.0031214,0.0036887,0.0043008,0.0049676,0.0056955,0.0064103,0.0070487,0.0069984,0.0078557,0.0074689,0.0086698,0.010302,0.011148,0.011591,0.0098847,0.012385,0.010702,0.011195,0.011168,0.010781,0.010034,0.0096751,0.0093133,0.0086431,0.0084966,0.0070363,0.00566,0.0046901,0.0040967,0.0034843,0.003143,0.0031532
x=-8cm,1.16E-05,1.13E-05,1.03E-05,9.37E-06,1.20E-05,1.24E-05,1.28E-05,1.37E-05,1.57E-05,1.66E-05,2.27E-05,2.64E-05,2.84E-05,3.27E-05,3.52E-05,3.85E-05,4.34E-05,4.91E-05,4.99E-05,5.43E-05,5.92E-05,5.76E-05,6.13E-05,6.79E-05,7.00E-05,7.43E-05,7.37E-05,7.62E-05,8.06E-05,8.02E-05,8.47E-05,8.57E-05,8.80E-05,9.48E-05,9.37E-05,9.54E-05,0.0001031,0.00010186,0.000109,0.00011902,0.00013537,0.00014351,0.00016091,0.00017872,0.0002146,0.00025915,0.00033658,0.00043127,0.00059967,0.00085859,0.0012799,0.0015161,0.0018396,0.00219,0.0026248,0.0031585,0.0036812,0.0042606,0.0047498,0.0047579,0.005457,0.0051963,0.006208,0.0075361,0.0084266,0.0088475,0.0074411,0.0098279,0.0083959,0.0089607,0.0089977,0.0086968,0.0082146,0.0080099,0.0077464,0.0072225,0.0071175,0.0060086,0.0048745,0.0040358,0.0035543,0.0030569,0.0027388,0.0027773
x=-9cm,1.11E-05,1.12E-05,9.57E-06,1.03E-05,9.93E-06,1.08E-05,1.18E-05,1.18E-05,1.36E-05,1.64E-05,1.89E-05,2.35E-05,2.63E-05,2.97E-05,3.17E-05,3.51E-05,3.88E-05,4.38E-05,4.32E-05,4.89E-05,4.85E-05,5.21E-05,5.35E-05,5.75E-05,5.91E-05,6.33E-05,6.59E-05,6.60E-05,6.91E-05,7.15E-05,7.17E-05,7.45E-05,7.15E-05,7.91E-05,7.80E-05,7.99E-05,8.23E-05,7.96E-05,8.05E-05,8.82E-05,9.86E-05,0.00010791,0.00011573,0.0001287,0.00015276,0.00018834,0.00024942,0.00031058,0.00042373,0.0006215,0.00094797,0.0011308,0.0013793,0.0016636,0.0020012,0.0024446,0.0028797,0.0033486,0.0037752,0.003796,0.0044556,0.0042397,0.0050898,0.0062714,0.0070797,0.0075148,0.0062987,0.0084437,0.0071978,0.0077276,0.0078702,0.0076035,0.0072215,0.0069634,0.0067958,0.006386,0.0062664,0.0053286,0.0043455,0.0036471,0.0031759,0.0027577,0.0025086,0.0025231
x=-10cm,1.43E-05,1.41E-05,1.26E-05,1.27E-05,1.07E-05,1.12E-05,1.26E-05,1.26E-05,1.31E-05,1.53E-05,2.07E-05,2.31E-05,2.32E-05,3.06E-05,3.46E-05,3.70E-05,4.02E-05,4.75E-05,4.88E-05,5.11E-05,5.24E-05,5.42E-05,5.72E-05,5.71E-05,5.91E-05,6.12E-05,6.31E-05,6.51E-05,6.28E-05,6.57E-05,6.83E-05,6.77E-05,7.01E-05,6.90E-05,7.08E-05,7.08E-05,7.24E-05,6.98E-05,6.81E-05,7.45E-05,7.94E-05,8.24E-05,9.33E-05,0.00010176,0.00011715,0.00014178,0.00018108,0.00021811,0.0003035,0.00044331,0.00069016,0.00083398,0.0010363,0.0012484,0.0015214,0.0018689,0.0022654,0.0026405,0.0030262,0.0030713,0.0036029,0.0034075,0.0042033,0.0052382,0.0059184,0.0063679,0.0052793,0.0072729,0.006172,0.006724,0.0068218,0.006633,0.0063021,0.0061817,0.0059541,0.0056021,0.0055079,0.0047216,0.0038744,0.0032272,0.0028703,0.0024863,0.0022457,0.002291
x=-11cm,2.05E-05,1.75E-05,1.62E-05,1.58E-05,1.60E-05,1.52E-05,1.47E-05,1.54E-05,1.59E-05,1.81E-05,2.23E-05,2.65E-05,3.31E-05,3.42E-05,3.93E-05,4.03E-05,4.47E-05,4.93E-05,5.30E-05,5.32E-05,5.45E-05,5.85E-05,5.87E-05,6.33E-05,6.04E-05,6.60E-05,6.43E-05,6.71E-05,7.11E-05,6.88E-05,6.53E-05,6.94E-05,6.85E-05,6.94E-05,7.04E-05,6.28E-05,6.32E-05,6.12E-05,6.07E-05,6.32E-05,6.38E-05,6.62E-05,6.96E-05,7.75E-05,8.48E-05,9.86E-05,0.00012967,0.00015228,0.00020816,0.00031119,0.00049335,0.00061209,0.00073287,0.00092518,0.001144,0.0014081,0.0017316,0.0020175,0.0023257,0.0023652,0.0027986,0.0026948,0.0032794,0.0041521,0.0047773,0.0051564,0.0042369,0.0060084,0.0050414,0.0055547,0.0056959,0.0055454,0.0052162,0.0051314,0.0049919,0.0047482,0.0046437,0.0039937,0.0032987,0.0028128,0.0024566,0.0021441,0.0019486,0.0019814
x=-12cm,2.58E-05,2.35E-05,2.13E-05,2.10E-05,2.02E-05,1.91E-05,1.93E-05,2.21E-05,2.13E-05,2.28E-05,2.61E-05,3.54E-05,3.59E-05,4.45E-05,4.52E-05,5.02E-05,5.49E-05,6.08E-05,6.57E-05,6.18E-05,6.62E-05,7.18E-05,6.67E-05,7.21E-05,6.88E-05,7.06E-05,6.97E-05,7.00E-05,7.29E-05,7.28E-05,7.02E-05,7.23E-05,6.86E-05,6.39E-05,6.44E-05,6.59E-05,5.83E-05,5.76E-05,5.14E-05,5.16E-05,5.17E-05,5.33E-05,5.29E-05,5.80E-05,6.52E-05,7.02E-05,9.31E-05,0.00010359,0.00014247,0.00020644,0.00035043,0.00042186,0.00052746,0.00064185,0.00080335,0.0010232,0.0012472,0.0014842,0.0017538,0.0017647,0.0021087,0.0020277,0.0024991,0.0031801,0.0036846,0.0039891,0.0032868,0.0047029,0.0039344,0.0043591,0.0044855,0.0043952,0.0041919,0.0040703,0.0039946,0.0037578,0.0037393,0.0032358,0.0026791,0.002267,0.0020224,0.0017644,0.0016098,0.0016361
x=-13cm,3.83E-05,3.64E-05,3.11E-05,3.11E-05,2.68E-05,2.79E-05,2.74E-05,2.83E-05,3.10E-05,3.48E-05,3.74E-05,4.35E-05,5.16E-05,5.61E-05,5.93E-05,6.05E-05,6.68E-05,7.02E-05,6.88E-05,7.38E-05,7.21E-05,7.33E-05,7.40E-05,7.19E-05,7.15E-05,6.98E-05,7.04E-05,7.07E-05,6.97E-05,7.22E-05,6.61E-05,6.63E-05,6.48E-05,6.18E-05,5.60E-05,5.32E-05,5.13E-05,4.71E-05,4.40E-05,3.84E-05,3.81E-05,4.12E-05,3.95E-05,4.24E-05,4.55E-05,4.81E-05,6.57E-05,6.47E-05,9.01E-05,0.00013715,0.00022738,0.00027536,0.00033972,0.00043481,0.00053742,0.0006893,0.00083373,0.00099886,0.0012014,0.001224,0.0014517,0.0013879,0.0017427,0.0022608,0.0026482,0.0028563,0.0023471,0.0034023,0.0028647,0.0031834,0.0032914,0.0032154,0.0030253,0.0029852,0.0029273,0.0027757,0.0027514,0.002389,0.0020002,0.0017044,0.001514,0.0013266,0.0012217,0.0012442
x=-14cm,5.86E-05,4.75E-05,4.67E-05,4.41E-05,4.28E-05,4.04E-05,4.47E-05,3.98E-05,4.55E-05,4.87E-05,5.27E-05,6.15E-05,6.82E-05,6.58E-05,6.84E-05,6.89E-05,7.52E-05,7.37E-05,7.42E-05,7.54E-05,6.96E-05,6.75E-05,6.83E-05,6.82E-05,6.15E-05,5.98E-05,6.31E-05,5.91E-05,5.97E-05,5.73E-05,5.41E-05,5.47E-05,4.91E-05,4.98E-05,4.80E-05,4.00E-05,3.75E-05,3.38E-05,3.03E-05,2.88E-05,3.00E-05,2.84E-05,2.50E-05,2.51E-05,2.92E-05,2.94E-05,3.99E-05,4.00E-05,5.22E-05,8.25E-05,0.00013202,0.00015676,0.00019161,0.00024735,0.00031665,0.00040165,0.00050321,0.00059726,0.00071477,0.00072797,0.00087966,0.00083657,0.0010866,0.0013725,0.0016232,0.0017608,0.0014514,0.0021546,0.0017758,0.0019785,0.0020466,0.0020173,0.0019263,0.0018919,0.0018496,0.001748,0.0017349,0.0015355,0.001291,0.0011273,0.0010048,0.00090625,0.00084342,0.00087109
